,code,date,sp,wp
0,600227,2016-09-01,-1.4983579638752054,-1.497285440049518
1,600227,2016-09-02,-1.5082781456953642,-1.5087808118770332
2,600227,2016-09-03,-1.5082781456953642,-1.5087808118770332
3,600227,2016-09-04,-1.5082781456953642,-1.5087808118770332
4,600227,2016-09-05,-1.4901639344262296,-1.4984445900171062
5,600227,2016-09-06,-1.48546042003231,-1.497029271614359
6,600227,2016-09-07,-1.468701095461659,-1.4865955415954044
7,600227,2016-09-08,-1.5142857142857142,-1.502776626915839
8,600227,2016-09-09,-1.484375,-1.497674589992529
9,600227,2016-09-10,-1.484375,-1.497674589992529
10,600227,2016-09-11,-1.484375,-1.497674589992529
11,600227,2016-09-12,-1.5142630744849446,-1.5261379807240572
12,600227,2016-09-13,-1.5015873015873016,-1.5056812321222668
13,600227,2016-09-14,-1.4516616314199395,-1.5049866115108237
0,600228,2016-09-01,-1.501605136436597,-1.497285440049518
1,600228,2016-09-02,-1.5048387096774194,-1.5087808118770332
2,600228,2016-09-03,-1.5048387096774194,-1.5087808118770332
3,600228,2016-09-04,-1.5048387096774194,-1.5087808118770332
4,600228,2016-09-05,-1.4912070343725021,-1.4984445900171062
5,600228,2016-09-06,-1.4881516587677726,-1.497029271614359
6,600228,2016-09-07,-1.485981308411215,-1.4865955415954044
7,600228,2016-09-08,-1.4992217898832685,-1.502776626915839
8,600228,2016-09-09,-1.4618263473053892,-1.497674589992529
9,600228,2016-09-10,-1.4618263473053892,-1.497674589992529
10,600228,2016-09-11,-1.4618263473053892,-1.497674589992529
11,600228,2016-09-12,-1.547843137254902,-1.5261379807240572
12,600228,2016-09-13,-1.529886914378029,-1.5056812321222668
13,600228,2016-09-14,-1.4904000000000002,-1.5049866115108237
0,600229,2016-09-01,-1.5050462573591252,-1.497285440049518
1,600229,2016-09-02,-1.4991596638655462,-1.5087808118770332
2,600229,2016-09-03,-1.4991596638655462,-1.5087808118770332
3,600229,2016-09-04,-1.4991596638655462,-1.5087808118770332
4,600229,2016-09-05,-1.503372681281619,-1.4984445900171062
5,600229,2016-09-06,-1.5008438818565402,-1.497029271614359
6,600229,2016-09-07,-1.4866777685262282,-1.4865955415954044
7,600229,2016-09-08,-1.5033416875522139,-1.502776626915839
8,600229,2016-09-09,-1.4851851851851852,-1.497674589992529
9,600229,2016-09-10,-1.4851851851851852,-1.497674589992529
10,600229,2016-09-11,-1.4851851851851852,-1.497674589992529
11,600229,2016-09-12,-1.5116569525395505,-1.5261379807240572
12,600229,2016-09-13,-1.5135021097046413,-1.5056812321222668
13,600229,2016-09-14,-1.5110921501706485,-1.5049866115108237
0,600230,2016-09-01,-1.5120481927710843,-1.497285440049518
1,600230,2016-09-02,-1.504032258064516,-1.5087808118770332
2,600230,2016-09-03,-1.504032258064516,-1.5087808118770332
3,600230,2016-09-04,-1.504032258064516,-1.5087808118770332
4,600230,2016-09-05,-1.4943865276663992,-1.4984445900171062
5,600230,2016-09-06,-1.4826635145784084,-1.497029271614359
6,600230,2016-09-07,-1.4761538461538461,-1.4865955415954044
7,600230,2016-09-08,-1.4923664122137406,-1.502776626915839
8,600230,2016-09-09,-1.5155038759689923,-1.497674589992529
9,600230,2016-09-10,-1.5155038759689923,-1.497674589992529
10,600230,2016-09-11,-1.5155038759689923,-1.497674589992529
11,600230,2016-09-12,-1.538647342995169,-1.5261379807240572
12,600230,2016-09-13,-1.5016129032258063,-1.5056812321222668
13,600230,2016-09-14,-1.5089503661513426,-1.5049866115108237
0,600231,2016-09-01,-1.5118110236220472,-1.497285440049518
1,600231,2016-09-02,-1.516,-1.5087808118770332
2,600231,2016-09-03,-1.516,-1.5087808118770332
3,600231,2016-09-04,-1.516,-1.5087808118770332
4,600231,2016-09-05,-1.492063492063492,-1.4984445900171062
5,600231,2016-09-06,-1.4960474308300395,-1.497029271614359
6,600231,2016-09-07,-1.48828125,-1.4865955415954044
7,600231,2016-09-08,-1.4961089494163424,-1.502776626915839
8,600231,2016-09-09,-1.5,-1.497674589992529
9,600231,2016-09-10,-1.5,-1.497674589992529
10,600231,2016-09-11,-1.5,-1.497674589992529
11,600231,2016-09-12,-1.5239043824701195,-1.5261379807240572
12,600231,2016-09-13,-1.5120967741935483,-1.5056812321222668
