,code,date,sp,wp
3,000025,2016-09-03,-1.5013335308934657,invalid code
4,000025,2016-09-04,-1.5013335308934657,invalid code
5,000025,2016-09-05,-1.5133633633633634,invalid code
6,000025,2016-09-06,-1.4970059880239521,invalid code
7,000025,2016-09-07,-1.4893364928909953,invalid code
8,000025,2016-09-08,-1.4914831130690163,invalid code
9,000025,2016-09-09,-1.5014705882352941,invalid code
10,000025,2016-09-10,-1.5014705882352941,invalid code
11,000025,2016-09-11,-1.5014705882352941,invalid code
12,000025,2016-09-12,-1.525022610792885,invalid code
13,000025,2016-09-13,-1.4949010197960408,invalid code
14,000025,2016-09-14,-1.5070986255852592,invalid code
0,000026,2016-08-31,-1.494915254237288,invalid code
1,000026,2016-09-01,-1.484974958263773,invalid code
2,000026,2016-09-02,-1.522184300341297,invalid code
3,000026,2016-09-03,-1.522184300341297,invalid code
4,000026,2016-09-04,-1.522184300341297,invalid code
5,000026,2016-09-05,-1.483221476510067,invalid code
6,000026,2016-09-06,-1.514468085106383,invalid code
7,000026,2016-09-07,-1.397631779984721,invalid code
8,000026,2016-09-08,-1.5115919629057186,invalid code
9,000026,2016-09-09,-1.494619523443505,invalid code
10,000026,2016-09-10,-1.494619523443505,invalid code
11,000026,2016-09-11,-1.494619523443505,invalid code
12,000026,2016-09-12,-1.5244094488188977,invalid code
13,000026,2016-09-13,-1.4952978056426331,invalid code
14,000026,2016-09-14,-1.5031446540880502,invalid code
0,000027,2016-08-31,-1.4942196531791907,invalid code
1,000027,2016-09-01,-1.4985569985569986,invalid code
2,000027,2016-09-02,-1.4971223021582734,invalid code
3,000027,2016-09-03,-1.4971223021582734,invalid code
4,000027,2016-09-04,-1.4971223021582734,invalid code
5,000027,2016-09-05,-1.5,invalid code
6,000027,2016-09-06,-1.4971305595408897,invalid code
7,000027,2016-09-07,-1.4900568181818181,invalid code
8,000027,2016-09-08,-1.5100430416068866,invalid code
9,000027,2016-09-09,-1.5057720057720059,invalid code
10,000027,2016-09-10,-1.5057720057720059,invalid code
11,000027,2016-09-11,-1.5057720057720059,invalid code
12,000027,2016-09-12,-1.5236336779911375,invalid code
13,000027,2016-09-13,-1.5014792899408285,invalid code
14,000027,2016-09-14,-1.5,invalid code
0,000030,2016-08-31,-1.4425287356321839,invalid code
1,000030,2016-09-01,-1.5116279069767442,invalid code
2,000030,2016-09-02,-1.4942196531791907,invalid code
3,000030,2016-09-03,-1.4942196531791907,invalid code
4,000030,2016-09-04,-1.4942196531791907,invalid code
5,000030,2016-09-05,-1.5396634615384615,invalid code
6,000030,2016-09-06,-1.4976019184652278,invalid code
7,000030,2016-09-07,-1.4811764705882353,invalid code
8,000030,2016-09-08,-1.49882491186839,invalid code
9,000030,2016-09-09,-1.4445061043285239,invalid code
10,000030,2016-09-10,-1.4445061043285239,invalid code
11,000030,2016-09-11,-1.4445061043285239,invalid code
12,000030,2016-09-12,-1.5344431687715268,invalid code
13,000030,2016-09-13,-1.4731843575418997,invalid code
14,000030,2016-09-14,-1.4770742358078601,invalid code
0,000031,2016-08-31,-1.5107632093933463,invalid code
1,000031,2016-09-01,-1.4941634241245136,invalid code
2,000031,2016-09-02,-1.5269730269730268,invalid code
3,000031,2016-09-03,-1.5269730269730268,invalid code
4,000031,2016-09-04,-1.5269730269730268,invalid code
5,000031,2016-09-05,-1.491089108910891,invalid code
6,000031,2016-09-06,-1.5009910802775024,invalid code
